,tree_pictures,ratio,measured_dbh
1,1675152298141.jpg,3.7659783134503333,28.3
3,1675243337239.jpg,3.16381359132304,20.0
5,1675149279494.jpg,2.6656279455102214,16.7
12,1675065957914.jpg,1.7759791896158508,10.4
13,1675073200688.jpg,3.4303939172538946,23.2
14,1675157080525.jpg,4.808919094890117,34.3
16,1675064237905.jpg,2.2829183379196496,14.7
17,1675073824182.jpg,2.3571490015268153,15.9
19,1675151880339.jpg,2.914007974201992,18.8
22,1675243085843.jpg,4.622860464769928,30.0
23,1675150063936.jpg,4.272303066268673,26.45
24,1675153957278.jpg,3.704450107447063,21.2
27,1675152484862.jpg,2.6075738555615513,18.5
28,1675074558302.jpg,2.8935637389965576,21.0
34,1675153749619.jpg,1.7667942548824962,12.2
36,1675153881209.jpg,2.289766994459121,14.8
37,1675153330423.jpg,3.1792829450171705,20.7
38,1675153742115.jpg,3.7731208383426873,25.1
41,1675844836804.jpg,0.9032137895929434,5.0
43,1675241273322.jpg,1.1925315788199478,7.2
44,1675151023805.jpg,1.22657120827881,7.2
46,1675070421123.jpg,1.7017011501435793,10.85
47,1675149973263.jpg,5.510891325596027,38.0
48,1675155330498.jpg,2.786412567786783,15.8
51,1675068233188.jpg,2.4323045841078312,14.9
52,1675241150827.jpg,0.9306131258187095,5.5
53,1675068894089.jpg,3.918892499358037,25.7
54,1675064768693.jpg,1.6420671681320587,9.1
57,1675153341027.jpg,1.1440107273381708,6.6
61,1675323368595.jpg,1.114951124052217,7.0
64,1675153601942.jpg,2.342388228636106,14.0
65,1675152461176.jpg,4.3152617951735746,29.9
70,1675934453966.jpg,5.391849732400308,38.5
71,1675154247927.jpg,2.7995400026740476,18.0
72,1675155930289.jpg,4.332685878812626,36.9
73,1675064522777.jpg,4.002931197726593,24.7
74,1675154754917.jpg,2.667872536684566,16.3
76,1675243009164.jpg,3.9481176453159987,28.5
77,1675073152067.jpg,5.440661657807472,35.9
81,1675157721989.jpg,5.998596917736059,40.7
82,1675152045531.jpg,3.4068942650536367,23.6
84,1675151454814.jpg,3.2853819950859853,25.0
86,1675155455964.jpg,2.52093193893981,15.8
89,1675064041673.jpg,3.38233705202912,20.1
91,1675075079668.jpg,2.0118858910318065,13.5
93,1675329532298.jpg,2.0358861009213243,12.9
94,1675074379053.jpg,4.6169605834666285,30.5
95,1675156069612.jpg,1.351139370730167,7.6
96,1675067300145.jpg,5.314246372121528,32.6
98,1675157923438.jpg,4.984474968986885,35.1
102,1675154580779.jpg,3.1292317346426404,19.9
103,1675066636293.jpg,4.996066828473559,31.9
