,ratio,measured_dbh
1,3.7659783134503333,28.3
3,3.16381359132304,20.0
5,2.6656279455102214,16.7
12,1.7759791896158508,10.4
13,3.4303939172538946,23.2
14,4.808919094890117,34.3
16,2.2829183379196496,14.7
17,2.3571490015268153,15.9
19,2.914007974201992,18.8
22,4.622860464769928,30.0
23,4.272303066268673,26.45
24,3.704450107447063,21.2
27,2.6075738555615513,18.5
28,2.8935637389965576,21.0
34,1.7667942548824962,12.2
36,2.289766994459121,14.8
37,3.1792829450171705,20.7
38,3.7731208383426873,25.1
41,0.9032137895929434,5.0
43,1.1925315788199478,7.2
44,1.22657120827881,7.2
46,1.7017011501435793,10.85
47,5.510891325596027,38.0
48,2.786412567786783,15.8
51,2.4323045841078312,14.9
52,0.9306131258187095,5.5
53,3.918892499358037,25.7
54,1.6420671681320587,9.1
57,1.1440107273381708,6.6
61,1.114951124052217,7.0
64,2.342388228636106,14.0
65,4.3152617951735746,29.9
70,5.391849732400308,38.5
71,2.7995400026740476,18.0
72,4.332685878812626,36.9
73,4.002931197726593,24.7
74,2.667872536684566,16.3
76,3.9481176453159987,28.5
77,5.440661657807472,35.9
81,5.998596917736059,40.7
82,3.4068942650536367,23.6
84,3.2853819950859853,25.0
86,2.52093193893981,15.8
89,3.38233705202912,20.1
91,2.0118858910318065,13.5
93,2.0358861009213243,12.9
94,4.6169605834666285,30.5
95,1.351139370730167,7.6
96,5.314246372121528,32.6
98,4.984474968986885,35.1
102,3.1292317346426404,19.9
103,4.996066828473559,31.9
