tree_picture,source,measured_dbh,predicted_dbh
1675934772605.jpg,kenya,37.6,38.2
1675927458697.jpg,kenya,30.0,26.59
1675927603450.jpg,kenya,36.1,35.48
1675927823347.jpg,kenya,30.3,32.5
1675150159298.jpg,kenya,5.3,6.28
1675151940927.jpg,kenya,25.2,27.16
1675152448190.jpg,kenya,27.5,28.04
1675152583312.jpg,kenya,23.6,25.13
1675153420986.jpg,kenya,55.6,59.23
1675153463508.jpg,kenya,60.8,58.31
1675844429524.jpg,kenya,5.1,5.3
1675844996526.jpg,kenya,5.1,4.93
1675328427842.jpg,kenya,16.6,15.8
1675328796800.jpg,kenya,17.1,16.98
1675329045663.jpg,kenya,13.8,14.31
1675329244276.jpg,kenya,19.3,17.89
1675326149160.jpg,kenya,6.8,6.92
1675326416696.jpg,kenya,5.9,6.03
1675689816503.jpg,kenya,9.0,8.21
1675690011397.jpg,kenya,9.0,9.36
1675328868079.jpg,kenya,33.0,33.88
1675328280071.jpg,kenya,24.0,26.12
1675328507230.jpg,kenya,35.0,39.56
1675328682062.jpg,kenya,32.0,32.96
1675329485809.jpg,kenya,7.0,7.66
1675329616492.jpg,kenya,6.0,5.59
1675329759792.jpg,kenya,6.0,5.69
1675326529841.jpg,kenya,35.1,35.22
1675325692343.jpg,kenya,5.5,4.94
1675150280670.jpg,kenya,27.1,30.07
1675149562936.jpg,kenya,37.3,39.97
1675324790413.jpg,kenya,44.8,39.02
1675152061795.jpg,kenya,18.2,17.24
1675150872438.jpg,kenya,22.8,25.14
1675150481896-17_50_9.jpg,kenya,34.4,43.17
1675323663158.jpg,kenya,6.5,5.54
1675322805189.jpg,kenya,43.2,41.82
1675151484708.jpg,kenya,23.9,27.67
1675151238991.jpg,kenya,18.8,19.9
1675151035842.jpg,kenya,21.8,22.13
1675067575589.jpg,kenya,7.4,7.16
1675067086240.jpg,kenya,44.0,39.27
1675327679455.jpg,kenya,21.0,20.83
1675327824135.jpg,kenya,26.0,28.51
1675327962534.jpg,kenya,24.0,25.13
1675328080346.jpg,kenya,17.0,22.13
1675327212425.jpg,kenya,12.0,13.82
1675327460435.jpg,kenya,19.0,22.01
1675323384741-17_44_1.jpg,kenya,40.0,35.47
1675323604291-17_45_30.jpg,kenya,27.4,29.27
1675323850969-17_45_55.jpg,kenya,34.9,34.11
1675324036601-17_46_19.jpg,kenya,39.7,40.56
1675324252316-17_46_37.jpg,kenya,24.6,25.79
1675324572020-17_46_53.jpg,kenya,27.6,29.31
1675324860812-17_47_12.jpg,kenya,23.6,27.03
