,tree_picture,predicted_dbh,measured_dbh
1,1675934772605.jpg,38.2,37.6
2,1675927458697.jpg,26.59,30.0
3,1675927603450.jpg,35.48,36.1
4,1675927823347.jpg,32.5,30.3
5,1675150159298.jpg,6.28,5.3
8,1675151940927.jpg,27.16,25.2
9,1675152448190.jpg,28.04,27.5
10,1675152583312.jpg,25.13,23.6
11,1675153420986.jpg,59.23,55.6
12,1675153463508.jpg,58.31,60.8
13,1675844429524.jpg,5.3,5.1
16,1675844996526.jpg,4.93,5.1
24,1675328427842.jpg,15.8,16.6
25,1675328796800.jpg,16.98,17.1
26,1675329045663.jpg,14.31,13.8
27,1675329244276.jpg,17.89,19.3
28,1675326149160.jpg,6.92,6.8
29,1675326416696.jpg,6.03,5.9
31,1675689816503.jpg,8.21,9.0
32,1675690011397.jpg,9.36,9.0
33,1675328868079.jpg,33.88,33.0
34,1675328280071.jpg,26.12,24.0
35,1675328507230.jpg,39.56,35.0
36,1675328682062.jpg,32.96,32.0
37,1675329485809.jpg,7.66,7.0
38,1675329616492.jpg,5.59,6.0
39,1675329759792.jpg,5.69,6.0
40,1675326529841.jpg,35.22,35.1
41,1675325692343.jpg,4.94,5.5
42,1675150280670.jpg,30.07,27.1
44,1675149562936.jpg,39.97,37.3
45,1675324790413.jpg,39.02,44.8
46,1675152061795.jpg,17.24,18.2
47,1675150872438.jpg,25.14,22.8
48,1675150481896-17_50_9.jpg,43.17,34.4
49,1675323663158.jpg,5.54,6.5
51,1675322805189.jpg,41.82,43.2
53,1675151484708.jpg,27.67,23.9
54,1675151238991.jpg,19.9,18.8
55,1675151035842.jpg,22.13,21.8
56,1675067575589.jpg,7.16,7.4
58,1675067086240.jpg,39.27,44.0
60,1675327679455.jpg,20.83,21.0
61,1675327824135.jpg,28.51,26.0
62,1675327962534.jpg,25.13,24.0
63,1675328080346.jpg,22.13,17.0
64,1675327212425.jpg,13.82,12.0
65,1675327460435.jpg,22.01,19.0
66,1675323384741-17_44_1.jpg,35.47,40.0
67,1675323604291-17_45_30.jpg,29.27,27.4
68,1675323850969-17_45_55.jpg,34.11,34.9
69,1675324036601-17_46_19.jpg,40.56,39.7
70,1675324252316-17_46_37.jpg,25.79,24.6
71,1675324572020-17_46_53.jpg,29.31,27.6
72,1675324860812-17_47_12.jpg,27.03,23.6
73,1675325282319-17_47_29.jpg,33.98,32.6
74,1675325417572-17_47_43.jpg,32.06,34.2
75,1675243717283.jpg,22.28,23.0
76,1662627783697.jpg,12.44,11.0
77,1662627938579.jpg,19.26,16.0
78,1662628164465.jpg,31.91,27.0
79,1675240835922.jpg,11.02,9.8
80,1675241062321.jpg,12.34,10.9
82,1675241472807.jpg,8.83,8.8
83,1675241709114.jpg,17.07,15.9
84,1675241907341.jpg,14.55,12.2
85,1675242137881.jpg,13.9,13.1
86,1675242389976.jpg,25.69,23.0
87,1675242653625.jpg,25.69,23.8
89,1675240829544.jpg,5.47,5.9
91,1675241793340.jpg,21.4,20.3
92,1675242034505.jpg,12.06,13.6
93,1675242426658.jpg,17.15,15.9
94,1675242837346.jpg,24.21,24.5
98,1675152625184.jpg,28.89,28.0
99,1675152884892.jpg,29.5,31.0
101,1675153527509.jpg,31.08,32.0
104,1675154176383.jpg,24.62,24.5
105,1675154390150.jpg,11.99,11.9
106,1675154573887.jpg,15.1,13.4
108,1675154936672.jpg,13.4,12.1
109,1675155137312.jpg,19.61,16.7
111,1675155641748.jpg,28.36,31.2
112,1675155826415.jpg,8.7,7.2
114,1675156263350.jpg,10.87,9.4
115,1675156622727.jpg,34.28,36.0
116,1675156850386.jpg,39.48,41.6
120,1675150801281.jpg,5.07,5.4
121,1675151276510.jpg,23.56,23.0
122,1675153407352.jpg,56.84,61.5
123,1675153431940.jpg,48.67,56.4
124,1675065866013.jpg,31.15,28.5
125,1675155625256.jpg,26.03,24.3
128,1675153892774.jpg,9.28,9.8
134,1675154566008.jpg,16.25,15.6
135,1675155016335.jpg,23.76,23.0
136,1675155223780.jpg,8.67,8.2
137,1675155458333.jpg,22.19,26.8
138,1675155818067.jpg,29.17,32.9
140,1675156226208.jpg,17.01,20.2
141,1675153156595.jpg,10.56,11.2
142,1675152903788.jpg,5.59,5.8
146,1675151728284.jpg,29.86,29.0
148,1675152275528.jpg,7.63,7.3
150,1675150618452.jpg,36.45,37.0
151,1675150258461.jpg,33.19,32.6
